com.samsung.shealth.activity.day_summary,6305105,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,2611,,1689564,,0,,2020-03-25 20:25:21.437,,2020-03-25 20:24:29.467,,,,60,120000,46,,,,1959.44,,91.969986,297ba2f7-1616-4812-b5fa-4b9f1c0c0c6b.extra_data.json,jBfEgmLJSx,7600,com.sec.android.app.shealth,1681964,23580000,297ba2f7-1616-4812-b5fa-4b9f1c0c0c6b,2020-03-13 00:00:00.000,
,,,,991,,645460,,0,,2020-03-25 20:25:21.591,,2020-03-25 20:24:29.526,,,,60,60000,16,,,,747.286,,36.34,061deb3f-24b7-435b-bb6a-8d25ea5e3e68.extra_data.json,jBfEgmLJSx,5200,com.sec.android.app.shealth,640260,65699999,061deb3f-24b7-435b-bb6a-8d25ea5e3e68,2020-03-14 00:00:00.000,
,,,,0,,0,,0,,2020-03-25 20:25:21.705,,2020-03-25 20:24:29.560,,,,60,0,0,,,,0.0,,0.0,3aef9d40-a63b-4434-9de7-48d27c8e6f15.extra_data.json,jBfEgmLJSx,0,com.sec.android.app.shealth,0,-1,3aef9d40-a63b-4434-9de7-48d27c8e6f15,2020-03-15 00:00:00.000,
,,,,4780,,3187492,,0,,2020-03-25 20:25:21.869,,2020-03-25 20:24:29.611,,,,60,1499980,86,,,,3668.7253,,173.76059,987e5b2b-9684-401c-b160-df7f418175bd.extra_data.json,jBfEgmLJSx,12400,com.sec.android.app.shealth,3175092,29820000,987e5b2b-9684-401c-b160-df7f418175bd,2020-03-16 00:00:00.000,
,,,,2869,,1856177,,0,,2020-03-25 20:25:22.012,,2020-03-25 20:24:29.656,,,,60,60000,50,,,,2225.8796,,108.32,d619a819-46d8-4794-b68d-b1adb0b43416.extra_data.json,jBfEgmLJSx,14800,com.sec.android.app.shealth,1841377,32580000,d619a819-46d8-4794-b68d-b1adb0b43416,2020-03-17 00:00:00.000,
,,,,4989,,3327865,,0,,2020-03-25 20:25:22.105,,2020-03-25 20:24:29.690,,,,60,1201170,91,,,,3827.518,,173.1892,9caacd81-98d5-4828-8e04-3de6a69e3272.extra_data.json,jBfEgmLJSx,1600,com.sec.android.app.shealth,3326265,33120000,9caacd81-98d5-4828-8e04-3de6a69e3272,2020-03-18 00:00:00.000,
,,,,1051,,656655,,0,,2020-03-25 20:25:22.294,,2020-03-25 20:24:29.725,,,,60,60000,16,,,,967.3411,,50.15,9d5395fd-eae9-4ba9-9650-dcc7561abc5e.extra_data.json,jBfEgmLJSx,26400,com.sec.android.app.shealth,630255,16620000,9d5395fd-eae9-4ba9-9650-dcc7561abc5e,2020-03-19 00:00:00.000,
,,,,1435,,918812,,0,,2020-03-25 20:25:22.384,,2020-03-25 20:24:29.772,,,,60,120000,25,,,,1100.059,,50.750004,986926ab-9b61-4074-8522-53adca3416d4.extra_data.json,jBfEgmLJSx,1200,com.sec.android.app.shealth,917612,38399999,986926ab-9b61-4074-8522-53adca3416d4,2020-03-20 00:00:00.000,
,,,,1034,,689144,,0,,2020-03-25 20:25:22.607,,2020-03-25 20:24:29.823,,,,60,60000,18,,,,780.1099,,36.640003,7de692b0-1e63-4fcc-b01d-34b532bda3f2.extra_data.json,jBfEgmLJSx,800,com.sec.android.app.shealth,688344,27720000,7de692b0-1e63-4fcc-b01d-34b532bda3f2,2020-03-21 00:00:00.000,
,,,,0,,0,,0,,2020-03-25 20:25:22.789,,2020-03-25 20:24:29.857,,,,60,0,0,,,,0.0,,0.0,3addc34c-c9a8-4cab-919c-0b49497b8915.extra_data.json,jBfEgmLJSx,0,com.sec.android.app.shealth,0,-1,3addc34c-c9a8-4cab-919c-0b49497b8915,2020-03-22 00:00:00.000,
,,,,706,,451499,,0,,2020-03-25 20:25:22.935,,2020-03-25 20:24:29.893,,,,60,180000,11,,,,524.66003,,24.810001,ad683e9f-ff15-465c-90de-4a787a9383d9.extra_data.json,jBfEgmLJSx,0,com.sec.android.app.shealth,451499,76440000,ad683e9f-ff15-465c-90de-4a787a9383d9,2020-03-23 00:00:00.000,
,,,,2337,,1527974,,0,,2020-03-25 20:25:23.014,,2020-03-25 20:24:29.940,,,,60,60000,41,,,,1754.7095,,83.24001,b2140bb7-1fac-42d0-abc2-e9bcf7c43c72.extra_data.json,jBfEgmLJSx,6000,com.sec.android.app.shealth,1521974,16620000,b2140bb7-1fac-42d0-abc2-e9bcf7c43c72,2020-03-24 00:00:00.000,
,,,,15259,,9983817,,0,,2019-11-02 09:16:38.185,,2019-11-02 07:00:02.109,,,,60,240000,275,,,,10779.206,,792.21265,4a242047-d891-4b18-a35d-7f0774eb83cf.extra_data.json,rkSVQ0chfP,45600,com.sec.android.app.shealth,9938217,11220000,4a242047-d891-4b18-a35d-7f0774eb83cf,2019-11-01 00:00:00.000,
,,,,4424,,2786121,,0,,2019-10-12 05:55:26.738,,2019-10-11 04:00:00.459,,,,60,180000,76,,,,3559.7676,,267.7446,c988da0d-229a-4bfb-873f-ed532c591948.extra_data.json,rkSVQ0chfP,82498,com.sec.android.app.shealth,2703623,13140000,c988da0d-229a-4bfb-873f-ed532c591948,2019-10-11 00:00:00.000,
,,,,6982,,4906753,,616220,,2019-10-19 08:35:11.479,,2019-10-18 06:00:00.445,,,,60,685680,135,,,,4954.1694,,444.19647,387d0b80-9d71-4e38-b44c-3d3fd4e59c9f.extra_data.json,rkSVQ0chfP,56800,com.sec.android.app.shealth,4233733,9120000,387d0b80-9d71-4e38-b44c-3d3fd4e59c9f,2019-10-18 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:23.589,,2019-10-10 02:46:23.589,,,,-1,0,0,,,,0.0,,0.0,15c55cfe-e37b-449d-a323-ec54af1982a9.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,15c55cfe-e37b-449d-a323-ec54af1982a9,2019-09-26 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:22.733,,2019-10-10 02:46:22.733,,,,-1,0,0,,,,0.0,,0.0,a8e60e82-4f2f-4249-b9c1-63c162f2f17c.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,a8e60e82-4f2f-4249-b9c1-63c162f2f17c,2019-09-17 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:22.070,,2019-10-10 02:46:22.070,,,,-1,0,0,,,,0.0,,0.0,f68ef561-3bac-4a3d-af00-3cafb71f2220.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,f68ef561-3bac-4a3d-af00-3cafb71f2220,2019-09-12 00:00:00.000,
,,,,6632,,4385826,,0,,2019-11-01 07:15:46.500,,2019-10-31 07:00:01.116,,,,60,180000,120,,,,4603.483,,342.88504,e4fba3c5-3159-4d69-89a1-3a26e863b466.extra_data.json,rkSVQ0chfP,18400,com.sec.android.app.shealth,4367426,34200000,e4fba3c5-3159-4d69-89a1-3a26e863b466,2019-10-31 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:23.857,,2019-10-10 02:46:23.857,,,,-1,0,0,,,,0.0,,0.0,ef7bb7bc-33fd-4989-bc0a-2e6021437fbf.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,ef7bb7bc-33fd-4989-bc0a-2e6021437fbf,2019-09-29 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:22.827,,2019-10-10 02:46:22.827,,,,-1,0,0,,,,0.0,,0.0,ea7d08be-23cc-4380-93cc-b95a93e7ac60.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,ea7d08be-23cc-4380-93cc-b95a93e7ac60,2019-09-18 00:00:00.000,
,,,,4663,,3078291,,0,,2019-11-05 06:55:21.084,,2019-11-04 08:05:59.375,,,,60,120000,85,,,,3323.0955,,245.63171,5ea54e44-5cdc-4ae1-9cee-68db69084d6c.extra_data.json,rkSVQ0chfP,1600,com.sec.android.app.shealth,3076691,17460000,5ea54e44-5cdc-4ae1-9cee-68db69084d6c,2019-11-04 00:00:00.000,
,,,,6942,,4502311,,0,,2019-10-24 04:35:26.910,,2019-10-23 04:00:00.580,,,,60,180000,123,,,,5360.5146,,393.67346,17f80a59-8c6c-47f6-aa77-1f87bb259d44.extra_data.json,rkSVQ0chfP,77653,com.sec.android.app.shealth,4424658,10200000,17f80a59-8c6c-47f6-aa77-1f87bb259d44,2019-10-23 00:00:00.000,
,,,,2030,,1287646,,0,,2019-10-11 00:35:28.988,,2019-10-10 04:00:00.290,,,,60,120000,33,,,,1533.3381,,103.9641,60b2526f-be89-46a5-bce4-9b592039e6b8.extra_data.json,rkSVQ0chfP,35200,com.sec.android.app.shealth,1252446,18720000,60b2526f-be89-46a5-bce4-9b592039e6b8,2019-10-10 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:24.901,,2019-10-10 02:46:24.901,,,,-1,0,0,,,,0.0,,0.0,f599b678-5011-452b-bdf4-94d1cf8c7ed8.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,f599b678-5011-452b-bdf4-94d1cf8c7ed8,2019-10-07 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:23.402,,2019-10-10 02:46:23.402,,,,-1,0,0,,,,0.0,,0.0,0ebc6c70-de96-4087-9264-23a7b0e3a38c.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,0ebc6c70-de96-4087-9264-23a7b0e3a38c,2019-09-24 00:00:00.000,
,,,,8497,,5483352,,0,,2019-10-25 04:22:04.503,,2019-10-24 04:00:00.858,,,,60,60000,150,,,,7160.941,,550.9828,0dbe0211-f6f8-4433-b9f9-ffb1db7162aa.extra_data.json,rkSVQ0chfP,223600,com.sec.android.app.shealth,5259752,7860000,0dbe0211-f6f8-4433-b9f9-ffb1db7162aa,2019-10-24 00:00:00.000,
