com.samsung.shealth.tracker.floors_day_summary,6305105,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
62810050,,62810050,2024-10-23 16:51:13.006,2024-10-23 16:51:13.006,4,1,6+THe69Q8P,com.sec.android.app.shealth,d547798d-497a-4936-af13-d6d1d14d7368,1589846400000,
62810050,,62810050,2024-10-23 16:51:13.010,2024-10-23 16:51:13.010,5,1,6+THe69Q8P,com.sec.android.app.shealth,2a51dcd8-eff4-4b05-9ec9-059faa095d20,1588118400000,
62810050,,62810050,2024-10-23 16:51:13.015,2024-10-23 16:51:13.015,3,1,6+THe69Q8P,com.sec.android.app.shealth,1a06dfa7-afef-42fe-b056-92070831d11a,1614643200000,
62810050,,62810050,2024-10-23 16:51:13.027,2024-10-23 16:51:13.027,3,1,6+THe69Q8P,com.sec.android.app.shealth,2c45fd3c-f8b8-4ace-9015-4e2a0a98a4ed,1584662400000,
62810050,,62810050,2024-10-23 16:51:13.039,2024-10-23 16:51:13.039,1,1,6+THe69Q8P,com.sec.android.app.shealth,f8f0d436-4425-4238-bef0-6b23a6442f23,1582934400000,
62810050,,62810050,2024-10-23 16:51:13.043,2024-10-23 16:51:13.043,2,1,6+THe69Q8P,com.sec.android.app.shealth,097fc321-507d-48a6-810b-fd738026c906,1588636800000,
62810050,,62810050,2024-10-23 16:51:13.050,2024-10-23 16:51:13.050,3,1,6+THe69Q8P,com.sec.android.app.shealth,67a0f790-b510-4f09-afe2-1085ff8dd8aa,1653609600000,
62810050,,62810050,2024-10-23 16:51:13.054,2024-10-23 16:51:13.054,1,1,6+THe69Q8P,com.sec.android.app.shealth,2b059297-d698-4312-b723-22367c58b21a,1691107200000,
62810050,,62810050,2024-10-23 16:51:13.063,2024-10-23 16:51:13.063,4,1,6+THe69Q8P,com.sec.android.app.shealth,168bc5f2-95d3-4bb0-82fd-e34ff3c3207c,1585180800000,
62810050,,62810050,2024-10-23 16:51:13.069,2024-10-23 16:51:13.069,1,1,6+THe69Q8P,com.sec.android.app.shealth,40f54f79-b5ec-43f2-98b3-11bfaab90807,1583452800000,
62810050,,62810050,2024-10-23 16:51:13.073,2024-10-23 16:51:13.073,2,1,6+THe69Q8P,com.sec.android.app.shealth,38af6716-0f10-405f-978b-4c2fb5b1e330,1613433600000,
62810050,,62810050,2024-10-23 16:51:13.078,2024-10-23 16:51:13.078,1,1,6+THe69Q8P,com.sec.android.app.shealth,b30cf60c-a05a-4b6c-a822-d6e5b06fcc96,1587513600000,
62810050,,62810050,2024-10-23 16:51:13.082,2024-10-23 16:51:13.082,15,1,6+THe69Q8P,com.sec.android.app.shealth,28e7bf0d-77f8-4a9c-ba5c-287016e64310,1592697600000,
62810050,,62810050,2024-10-23 16:51:13.088,2024-10-23 16:51:13.088,1,1,6+THe69Q8P,com.sec.android.app.shealth,621518c9-59e7-4735-8b4e-856302ab6fef,1597881600000,
62810050,,62810050,2024-10-23 16:51:13.095,2024-10-23 16:51:13.095,2,1,6+THe69Q8P,com.sec.android.app.shealth,93ccace6-7cae-4e1e-b7af-fd3794f37a57,1590969600000,
62810050,,62810050,2024-10-23 16:51:13.101,2024-10-23 16:51:13.101,2,1,6+THe69Q8P,com.sec.android.app.shealth,2b54c8c1-5c90-4b39-82ae-9607c2d71e1d,1596672000000,
62810050,,62810050,2024-10-23 16:51:13.105,2024-10-23 16:51:13.105,4,1,6+THe69Q8P,com.sec.android.app.shealth,f179ac80-b8cb-4703-9821-10991975bc29,1588032000000,
62810050,,62810050,2024-10-23 16:51:13.111,2024-10-23 16:51:13.111,2,1,6+THe69Q8P,com.sec.android.app.shealth,f49fbdf0-42cf-4530-b143-141bf02442b7,1670371200000,
62810050,,62810050,2024-10-23 16:51:13.115,2024-10-23 16:51:13.115,2,1,6+THe69Q8P,com.sec.android.app.shealth,26797d5a-b7c2-41b6-8cb7-9f36a197e849,1691712000000,
62810050,,62810050,2024-10-23 16:51:13.118,2024-10-23 16:51:13.118,1,1,6+THe69Q8P,com.sec.android.app.shealth,071d59da-92e5-445c-ad0f-09b2b6b656cb,1571270400000,
62810050,,62810050,2024-10-23 16:51:13.122,2024-10-23 16:51:13.122,1,1,6+THe69Q8P,com.sec.android.app.shealth,d15e2fd4-4506-4577-9238-9cbc9532ccb5,1597276800000,
62810050,,62810050,2024-10-23 16:51:13.126,2024-10-23 16:51:13.126,2,1,6+THe69Q8P,com.sec.android.app.shealth,138e7422-a3d2-4aaa-8365-0702cdaa468c,1570752000000,
62810050,,62810050,2024-10-23 16:51:13.130,2024-10-23 16:51:13.130,3,1,6+THe69Q8P,com.sec.android.app.shealth,60175ea8-dd0c-4cc0-ab57-c39ad5c79b62,1594339200000,
62810050,,62810050,2024-10-23 16:51:13.135,2024-10-23 16:51:13.135,2,1,6+THe69Q8P,com.sec.android.app.shealth,97e1319d-0bd7-4264-87fe-8352a547becc,1585699200000,
62810050,,62810050,2024-10-23 16:51:13.140,2024-10-23 16:51:13.140,4,1,6+THe69Q8P,com.sec.android.app.shealth,fd747bb8-60dc-4386-a238-d84d5a9021b0,1583971200000,
62810050,,62810050,2024-10-23 16:51:13.143,2024-10-23 16:51:13.143,1,1,6+THe69Q8P,com.sec.android.app.shealth,11006fea-9e6a-4e56-8047-d10927a75708,1671580800000,
62810050,,62810050,2024-10-23 16:51:13.147,2024-10-23 16:51:13.147,1,1,6+THe69Q8P,com.sec.android.app.shealth,0db68134-b36d-481c-a576-4641fd4c7898,1584489600000,
62810050,,62810050,2024-10-23 16:51:13.151,2024-10-23 16:51:13.151,5,1,6+THe69Q8P,com.sec.android.app.shealth,d0ef6742-3b17-430c-bf54-d2f845b10495,1582761600000,
62810050,,62810050,2024-10-23 16:51:13.155,2024-10-23 16:51:13.155,1,1,6+THe69Q8P,com.sec.android.app.shealth,f3c65d58-2a2e-41e3-a985-cc52f61cbc9d,1600646400000,
62810050,,62810050,2024-10-23 16:51:13.158,2024-10-23 16:51:13.158,3,1,6+THe69Q8P,com.sec.android.app.shealth,149f794c-89d8-4034-820b-8970509527b0,1696982400000,
