com.samsung.shealth.tracker.pedometer_step_count,6305105,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
21067,4,0,36,2025-09-13 23:53:00.000,,,2025-09-13 23:55:01.103,2025-09-13 23:55:01.103,36,1.2777778,26.92,1.16,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 23:54:00.000,e27513b1-4af3-4085-a204-01e30b8f8335,
3529,4,0,6,2025-09-13 23:54:00.000,,,2025-09-13 23:55:01.114,2025-09-13 23:55:01.114,6,1.2777778,4.51,0.18,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 23:55:00.000,a5d47bbd-2ead-4b27-9317-8566f10ae461,
12034,4,0,19,2025-09-14 00:37:00.000,,,2025-09-14 00:42:30.355,2025-09-14 00:42:30.355,19,1.1666666,14.04,0.61,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 00:38:00.000,efd69bb4-10d4-4bce-a9b6-71aafd8d029c,
12232,4,0,22,2025-09-14 00:38:00.000,,,2025-09-14 00:42:30.378,2025-09-14 00:42:30.378,22,1.3611112,16.65,0.68,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 00:39:00.000,db521c4b-32f9-4d27-a3d8-7d4b07b1b9f1,
8824,4,0,15,2025-09-14 00:39:00.000,,,2025-09-14 00:42:30.397,2025-09-14 00:42:30.397,15,1.25,11.03,0.5,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 00:40:00.000,95b38222-3deb-4bbb-ab06-9aed5a62f85f,
9237,4,0,15,2025-09-14 01:16:00.000,,,2025-09-14 01:16:59.730,2025-09-14 01:16:57.906,15,1.2016617,11.099999,0.49,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 01:17:00.000,60a5bd40-d103-4b94-9236-fae931f5c01b,
8606,4,0,15,2025-09-14 01:17:00.000,,,2025-09-14 01:17:55.463,2025-09-14 01:17:00.189,15,1.3130227,11.3,0.45,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 01:18:00.000,3360c197-3d55-4cff-b393-267ef169840a,
6634,4,0,12,2025-09-14 01:20:00.000,,,2025-09-14 01:20:08.288,2025-09-14 01:20:08.288,12,1.3611112,9.03,0.3,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 01:21:00.000,132d5487-7c71-41e4-a02c-915eef0b3761,
15009,4,0,22,2025-09-14 01:25:00.000,,,2025-09-14 01:25:51.069,2025-09-14 01:25:44.254,22,1.0593302,15.9,0.6999998,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 01:26:00.000,40104ab4-a098-452f-afe3-5cf964239df5,
9905,4,0,18,2025-09-14 01:30:00.000,,,2025-09-14 01:30:53.627,2025-09-14 01:30:50.381,18,1.4395638,14.26,0.48000002,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 01:31:00.000,d2d5cda8-b169-4993-a1de-af658a47fb5d,
27237,4,0,50,2025-09-14 01:59:00.000,,,2025-09-14 02:13:37.940,2025-09-14 02:13:37.940,50,1.3888888,37.83,1.54,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 02:00:00.000,a13cb036-d069-4d63-8482-cb403828b0c7,
29208,4,0,55,2025-09-14 02:00:00.000,,,2025-09-14 02:13:38.006,2025-09-14 02:13:38.006,55,1.4444444,42.19,1.69,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 02:01:00.000,213f3dbf-78ac-462f-8ffc-3420d3daf268,
13565,4,0,21,2025-09-14 02:16:00.000,,,2025-09-14 02:29:17.881,2025-09-14 02:29:17.881,21,1.3055556,17.71,0.86,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 02:17:00.000,69ba07d4-339b-4595-aa75-7df4b90b0d03,
4500,4,0,7,2025-09-14 02:18:00.000,,,2025-09-14 02:29:17.911,2025-09-14 02:29:17.911,7,1.1111112,5.0,0.24,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 02:19:00.000,2fa0ee62-e208-49da-871b-a198247df0f9,
45174,4,8,69,2025-09-14 02:19:00.000,,,2025-09-14 02:29:17.931,2025-09-14 02:29:17.931,77,1.8888888,85.33,4.32,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 02:20:00.000,a4f71bf7-9fd3-429c-992c-da78c4eda721,
18080,4,0,35,2025-09-14 02:20:00.000,,,2025-09-14 02:29:17.947,2025-09-14 02:29:17.947,35,1.5,27.12,1.07,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 02:21:00.000,3d5959c9-9e39-4af6-aab8-9b70029ed0e7,
8066,4,0,15,2025-09-14 02:21:00.000,,,2025-09-14 02:29:17.970,2025-09-14 02:29:17.970,15,1.5,12.1,0.47,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 02:22:00.000,21efa3a2-e851-4148-962f-ab7726a51fa0,
40603,4,0,71,2025-09-14 02:23:00.000,,,2025-09-14 02:29:17.987,2025-09-14 02:29:17.987,71,1.3055556,53.01,2.21,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 02:24:00.000,d1bcf220-1618-4f3b-8de6-0c9be97dff01,
31480,4,0,63,2025-09-14 02:24:00.000,,,2025-09-14 02:29:18.010,2025-09-14 02:29:18.010,63,1.5555556,48.97,1.94,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 02:25:00.000,bb19f5f8-0016-45a6-a214-43af41650987,
18495,4,0,28,2025-09-14 02:25:00.000,,,2025-09-14 02:29:18.033,2025-09-14 02:29:18.033,28,1.111111,20.55,0.89,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 02:26:00.000,8910c0de-1fd2-48d6-9662-5d10e3ee1926,
