com.samsung.shealth.stand_day_summary,6305105,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,256,,2020-03-30 15:26:14.470,2020-03-30 07:00:07.246,BfdGMJKwGJ,com.sec.android.app.shealth,ba836699-21a1-a432-e1e1-496a6c9b8a80,1585526400000,
,12582912,,2020-04-01 06:39:53.243,2020-03-31 14:34:54.359,BfdGMJKwGJ,com.sec.android.app.shealth,dfc8050d-02c9-aee5-dd0f-cd1df3deefe6,1585612800000,
,10616848,,2020-04-02 06:07:21.273,2020-04-01 07:00:10.981,BfdGMJKwGJ,com.sec.android.app.shealth,7f30447c-23ac-63b8-163b-58846b2d4a8e,1585699200000,
,2097153,,2020-04-03 04:06:21.327,2020-04-02 07:00:15.692,BfdGMJKwGJ,com.sec.android.app.shealth,c28b7f3b-52b2-76c1-595c-63ae2d7b6dfd,1585785600000,
,294912,,2020-04-04 01:47:11.281,2020-04-03 07:00:12.951,BfdGMJKwGJ,com.sec.android.app.shealth,740853ad-f385-1986-ec9c-279f25593c5c,1585872000000,
,0,,2020-04-04 07:00:07.310,2020-04-04 07:00:07.310,BfdGMJKwGJ,com.sec.android.app.shealth,4b5c7ac4-0912-8cc6-6377-de3bf3605260,1585958400000,
,0,,2020-04-05 07:00:29.407,2020-04-05 07:00:29.407,BfdGMJKwGJ,com.sec.android.app.shealth,071288d4-31ca-9767-1d73-a9e8bb5b75e4,1586044800000,
,0,,2020-04-06 18:49:05.486,2020-04-06 18:49:05.486,BfdGMJKwGJ,com.sec.android.app.shealth,ddc2cd6d-8c09-e435-2dae-9a13484ecf3e,1586131200000,
,1088,,2020-04-07 17:21:38.555,2020-04-07 07:00:25.135,BfdGMJKwGJ,com.sec.android.app.shealth,2ece9543-e7da-7c7a-1e46-6879bfb336f5,1586217600000,
,1642496,,2020-04-09 03:23:57.220,2020-04-08 07:00:17.268,BfdGMJKwGJ,com.sec.android.app.shealth,7c3ce136-cefe-6371-0e30-3029ea91d9e9,1586304000000,
,0,,2020-04-10 01:31:56.501,2020-04-09 07:00:04.566,BfdGMJKwGJ,com.sec.android.app.shealth,29ce65f6-d8e8-a719-3a50-07f250b3b2b4,1586390400000,
,0,,2020-04-11 02:16:27.447,2020-04-11 02:16:27.447,BfdGMJKwGJ,com.sec.android.app.shealth,f0eebe96-ef52-7c35-1479-c0c61596ce84,1586476800000,
,5242880,,2020-04-12 05:21:33.294,2020-04-11 07:00:10.150,BfdGMJKwGJ,com.sec.android.app.shealth,b1739d46-efca-e74a-d808-6dc70c93dbcf,1586563200000,
,10780693,,2020-04-13 06:00:54.242,2020-04-12 07:00:25.882,BfdGMJKwGJ,com.sec.android.app.shealth,b0adc288-5f5e-3fc3-329f-8118f838432f,1586649600000,
,4530176,,2020-04-14 05:02:07.437,2020-04-13 07:00:03.782,BfdGMJKwGJ,com.sec.android.app.shealth,3e829bc7-74ae-6542-f7e1-d06fbcf19901,1586736000000,
,524288,,2020-04-15 02:54:03.226,2020-04-14 07:00:07.124,BfdGMJKwGJ,com.sec.android.app.shealth,3d8d58a5-6487-ea62-5cb5-d73d60bdeff6,1586822400000,
,278528,,2020-04-16 01:21:14.275,2020-04-15 07:00:04.521,BfdGMJKwGJ,com.sec.android.app.shealth,cd9e03c5-ca6f-913f-b97b-d60a1dfd6569,1586908800000,
,6291712,,2020-04-17 05:52:37.325,2020-04-16 07:00:08.359,BfdGMJKwGJ,com.sec.android.app.shealth,9d0c9b96-888d-0872-6475-1538c5315fc5,1586995200000,
,0,,2020-04-17 07:00:13.646,2020-04-17 07:00:13.646,BfdGMJKwGJ,com.sec.android.app.shealth,8e2079f4-ce2a-d1f4-ce4a-acf3d0c3b1ad,1587081600000,
,6307852,,2020-04-19 05:56:39.314,2020-04-18 07:00:12.471,BfdGMJKwGJ,com.sec.android.app.shealth,6a65890b-c726-3267-3525-4ddd574b7343,1587168000000,
,5428,,2020-04-19 18:11:50.297,2020-04-19 07:00:15.350,BfdGMJKwGJ,com.sec.android.app.shealth,8ad924a4-fba1-eee7-44e1-083d5b21cdd8,1587254400000,
,13287440,,2020-04-21 04:47:54.528,2020-04-20 06:44:07.505,BfdGMJKwGJ,com.sec.android.app.shealth,28cf3f8b-c9df-a474-c3cb-3d4b4f49b355,1587340800000,
,215040,,2020-04-21 22:59:28.266,2020-04-21 05:00:14.187,BfdGMJKwGJ,com.sec.android.app.shealth,d3a2bce9-6aa4-2b66-2d24-e4187d225d90,1587427200000,
,86016,,2020-04-22 21:12:45.120,2020-04-22 05:00:08.837,BfdGMJKwGJ,com.sec.android.app.shealth,1e925bcb-44aa-ddf1-aa7b-7463d599ff32,1587513600000,
,13740544,,2020-04-24 04:40:11.290,2020-04-23 05:00:06.846,BfdGMJKwGJ,com.sec.android.app.shealth,205abaf0-58f1-3195-0f37-90d759992501,1587600000000,
,0,,2020-04-24 06:00:04.187,2020-04-24 05:00:03.293,BfdGMJKwGJ,com.sec.android.app.shealth,0f0891b8-c4e2-86b2-ec3d-03a872f55fa7,1587686400000,
,3543168,,2020-04-26 03:55:03.650,2020-04-25 07:00:09.721,BfdGMJKwGJ,com.sec.android.app.shealth,61e6b1e8-bbf0-c9ca-67f4-7bde3d744bd5,1587772800000,
,65536,,2020-04-26 21:39:13.297,2020-04-26 06:00:04.933,BfdGMJKwGJ,com.sec.android.app.shealth,7f20cd05-728b-47fc-d911-730de7c55251,1587859200000,
,11534848,,2020-04-28 04:07:25.180,2020-04-27 05:00:09.368,BfdGMJKwGJ,com.sec.android.app.shealth,40ec8502-863a-ae5f-7f74-c66b8f0f12dc,1587945600000,
,273416,,2020-04-28 23:16:57.285,2020-04-28 05:00:11.905,BfdGMJKwGJ,com.sec.android.app.shealth,180b4b5c-b4ed-ee76-fcda-bfecfa6a5126,1588032000000,
,4224,,2020-04-29 19:05:38.679,2020-04-29 06:00:04.378,BfdGMJKwGJ,com.sec.android.app.shealth,abbc97d9-b575-53fa-3154-9047ad07f1b7,1588118400000,
,297472,,2020-05-01 00:00:14.109,2020-04-30 14:04:14.342,BfdGMJKwGJ,com.sec.android.app.shealth,2505310f-6c37-fa96-26bf-eba31287e854,1588204800000,
,46272,,2020-05-01 20:53:17.539,2020-05-01 11:11:00.294,BfdGMJKwGJ,com.sec.android.app.shealth,2a1bf942-973a-b2af-d3d6-2db416bd99cc,1588291200000,
