com.samsung.health.floors_climbed,6305105,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2019-10-20 20:10:02.885,,2019-10-20 20:10:54.241,2019-10-20 20:10:54.042,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-20 20:10:08.887,46dff74f-1e74-8bba-4e1a-fdac46114df1,
2019-10-13 01:36:05.275,,2019-10-13 01:38:17.480,2019-10-13 01:38:17.279,,,2.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-13 01:36:22.278,a086e5c7-bf34-9e7c-e121-b4cb2c815edf,
2019-10-23 00:35:18.379,,2019-10-23 01:01:56.462,2019-10-23 01:01:56.390,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-23 00:35:36.389,de83eea4-a6e2-baee-1e02-ef501f2eb62f,
2019-10-21 15:35:35.788,,2019-10-21 15:37:19.824,2019-10-21 15:37:19.796,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-21 15:35:54.793,70a5d290-d160-7ef1-5b13-9f2cbae107ae,
2019-10-20 18:03:02.700,,2019-10-20 18:05:10.904,2019-10-20 18:05:10.824,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-20 18:03:17.724,e3f72c4f-0567-647a-b61b-5e1dc987d1d4,
2019-10-27 02:02:35.789,,2019-10-27 02:14:43.851,2019-10-27 02:14:43.814,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-27 02:03:01.791,dd4061b5-7fee-dae2-c82e-3b93affb4073,
2019-10-17 15:30:39.257,,2019-10-17 15:30:52.293,2019-10-17 15:30:49.258,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-17 15:30:48.271,3fd3542f-98f5-a4ad-08b2-ceb97c43d82c,
2019-10-23 14:16:49.757,,2019-10-23 14:17:54.782,2019-10-23 14:17:54.758,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-23 14:17:05.758,776360cb-b87c-cf78-f08e-f92799fe04c1,
2019-10-14 04:17:17.504,,2019-10-14 04:30:16.942,2019-10-14 04:30:16.930,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-14 04:17:30.542,1727ba90-27e0-0dbe-7635-27ffe9b60776,
2019-10-28 03:04:34.542,,2019-10-28 03:29:04.583,2019-10-28 03:29:04.568,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-28 03:04:44.544,db65ab61-dacc-a7d4-8634-f6f9221c2ff3,
2019-10-14 08:30:48.176,,2019-10-14 08:32:11.457,2019-10-14 08:32:11.436,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-14 08:31:03.421,a562600f-8296-c2e6-a78d-c443a97ccddd,
2019-10-20 18:30:00.551,,2019-10-20 18:30:56.589,2019-10-20 18:30:56.561,,,3.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-20 18:30:35.555,8e9d1aa3-69a4-64d0-d244-3af5e78f0129,
2019-10-12 08:35:17.781,,2019-10-12 08:39:48.852,2019-10-12 08:39:48.815,,,2.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-12 08:35:30.788,252f0298-374b-8d9b-1da9-acfdee6507f2,
2019-10-15 10:35:04.765,,2019-10-15 10:39:15.795,2019-10-15 10:39:15.770,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-15 10:35:17.769,898a91b8-ee4c-868a-06a3-6c8ad8daba1d,
2019-10-21 17:24:24.747,,2019-10-21 17:24:45.798,2019-10-21 17:24:45.754,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-21 17:24:36.749,210c7889-6e5c-d213-44bf-764433a6d8b6,
2019-10-15 15:50:52.798,,2019-10-15 15:51:15.937,2019-10-15 15:51:15.885,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-15 15:51:01.860,23c0f2c4-538e-88eb-5bae-92ef859c43fd,
2019-10-20 19:12:51.348,,2019-10-20 19:13:20.554,2019-10-20 19:13:20.382,,,3.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-20 19:13:15.353,f9ec73e8-1eb8-d6ff-7c42-fd9bf2fd2934,
2019-10-21 17:27:16.629,,2019-10-21 17:27:45.005,2019-10-21 17:27:44.963,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-21 17:27:31.773,38f5ec07-daac-b885-c8de-e6b35450bd6d,
2019-10-27 20:35:39.003,,2019-10-27 21:03:37.131,2019-10-27 21:03:37.092,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-27 20:35:50.005,766c0b94-b223-1df1-7906-464a4369c940,
2019-10-12 02:53:17.701,,2019-10-12 02:56:23.857,2019-10-12 02:56:23.737,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-12 02:53:26.703,112fe7ce-6df3-160b-ab44-bbfb4dcde943,
2019-10-12 03:00:30.333,,2019-10-12 03:00:44.403,2019-10-12 03:00:44.336,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-12 03:00:39.335,f1e3a0a1-6266-7f36-5a4b-e31af96af57b,
2019-10-12 06:09:21.725,,2019-10-12 06:09:46.825,2019-10-12 06:09:46.805,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-12 06:09:32.772,b67a277f-bfb0-cc98-0adc-db76e7a8d63b,
2020-02-26 13:17:12.553,,2020-02-26 13:18:21.914,2020-02-26 13:18:21.848,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-02-26 13:17:21.847,d1330bb9-dfc9-f6c3-62f3-27beae33137b,
2020-02-26 14:43:11.344,,2020-02-26 14:46:19.372,2020-02-26 14:46:19.351,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-02-26 14:43:30.351,a5de1524-14cc-4b9b-2a69-d10947306175,
2020-02-27 22:20:30.296,,2020-02-27 22:26:41.399,2020-02-27 22:26:41.377,,,1.0,,UTC-0600,BfdGMJKwGJ,com.sec.android.app.shealth,2020-02-27 22:20:39.377,5ee364fb-a5c2-94ae-4fe0-7f62f3334b4f,
2020-02-28 01:48:43.869,,2020-02-28 01:50:53.309,2020-02-28 01:50:53.181,,,2.0,,UTC-0600,BfdGMJKwGJ,com.sec.android.app.shealth,2020-02-28 01:49:06.873,e1f864f4-fbfb-ae38-6e6d-c844b1115234,
2020-02-28 01:50:57.440,,2020-02-28 01:51:24.505,2020-02-28 01:51:24.494,,,1.0,,UTC-0600,BfdGMJKwGJ,com.sec.android.app.shealth,2020-02-28 01:51:09.455,044675e0-8ce6-f1ca-713b-097be42bdd1a,
2020-02-28 03:09:43.694,,2020-02-28 03:15:42.082,2020-02-28 03:15:41.987,,,1.0,,UTC-0600,BfdGMJKwGJ,com.sec.android.app.shealth,2020-02-28 03:10:01.975,e7e766de-40c5-dfa5-a217-7a679f47853a,
2020-02-29 21:18:17.861,,2020-02-29 21:18:17.904,2020-02-29 21:18:17.864,,,1.0,,UTC-0800,BfdGMJKwGJ,com.sec.android.app.shealth,2020-02-29 21:18:17.864,6385237a-5279-3296-08db-6d03905346a5,
2020-03-06 19:31:04.049,,2020-03-06 19:43:12.530,2020-03-06 19:43:12.496,,,1.0,,UTC-0600,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-06 19:31:14.059,27e323fd-8a41-08fc-f20b-28ced2d38f4c,
2020-03-26 22:49:08.205,,2020-03-26 22:49:28.315,2020-03-26 22:49:28.216,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-26 22:49:25.207,54ed022f-64ff-bf8a-4b5f-5563aafa3603,
2020-03-26 22:51:10.501,,2020-03-26 22:52:17.517,2020-03-26 22:52:17.505,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-26 22:51:23.503,3c4f177a-a2b9-ff80-eac5-b7314a7990db,
2020-03-26 23:06:31.470,,2020-03-26 23:08:29.507,2020-03-26 23:08:29.481,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-26 23:06:40.472,de0c5399-3c19-428e-9179-1f428eb00c32,
2020-03-26 23:09:07.402,,2020-03-26 23:13:36.468,2020-03-26 23:13:36.444,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-26 23:09:18.404,2f0df391-150b-6837-1a3e-fc14b38a37ca,
2020-04-01 09:38:34.572,,2020-04-01 09:39:31.636,2020-04-01 09:39:31.599,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-01 09:39:10.575,08197672-49c9-c09d-83d9-c530d6ca3a9e,
2020-04-01 10:03:52.229,,2020-04-01 10:12:47.543,2020-04-01 10:12:47.508,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-01 10:04:26.231,3c8427ee-f857-ff52-2228-9779f94a2166,
2020-04-03 20:17:21.494,,2020-04-03 20:18:16.541,2020-04-03 20:18:16.514,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-03 20:17:37.496,d1533eeb-b120-ea68-1e35-b7da8e76cfdd,
2020-04-19 13:45:21.417,,2020-04-19 13:47:09.456,2020-04-19 13:47:09.421,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-19 13:45:28.419,078f4dfb-5e89-ef30-5f06-118aec3a232b,
2020-04-19 15:39:44.613,,2020-04-19 15:49:41.673,2020-04-19 15:49:41.632,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-19 15:40:04.615,b8fc0f9f-5db7-b6be-1b56-2ce76d6dad22,
2020-04-19 15:53:39.366,,2020-04-19 15:56:17.430,2020-04-19 15:56:17.413,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-19 15:53:50.368,be21199d-0314-1507-d173-04947fbdee60,
2020-04-19 17:04:07.370,,2020-04-19 17:07:21.389,2020-04-19 17:07:21.376,,,1.0,,UTC-0600,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-19 17:04:19.371,437c5989-4e69-15a5-0505-9192b9624e5e,
2020-04-20 17:32:45.491,,2020-04-20 17:35:18.609,2020-04-20 17:35:18.583,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-20 17:33:07.503,572a2e0f-09cf-7e51-6115-de840ca48a50,
2020-04-22 19:22:57.861,,2020-04-22 19:23:10.896,2020-04-22 19:23:10.896,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-22 19:23:06.861,e503f7fe-99d1-dd19-75c8-a248a31edbb7,
2020-04-23 11:55:23.428,,2020-04-23 11:56:20.469,2020-04-23 11:56:20.430,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-23 11:55:51.430,b8bf0753-525c-e73f-dac6-141570fb2c45,
2020-04-23 12:11:30.651,,2020-04-23 12:13:07.007,2020-04-23 12:13:06.870,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-23 12:11:55.653,e8efe6f9-8624-1cf7-d7d6-94bcb24ab2ee,
2020-04-23 12:27:40.696,,2020-04-23 12:28:07.030,2020-04-23 12:28:07.011,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-23 12:27:51.697,eeafcab7-b588-7425-68bb-d32c32686d25,
2020-04-23 12:36:14.702,,2020-04-23 12:38:33.422,2020-04-23 12:38:33.370,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-23 12:36:27.061,13d6fbcb-673c-f7b3-7d2d-c060578eb89c,
2020-04-23 12:45:29.205,,2020-04-23 12:45:47.439,2020-04-23 12:45:41.226,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-23 12:45:42.247,5c450cac-9da0-1936-c6c9-756c70e574ab,
2020-04-23 12:46:44.701,,2020-04-23 12:47:01.704,2020-04-23 12:47:01.704,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-23 12:46:53.701,ac30ee71-d374-f73a-8406-f1f58963be30,
