com.samsung.shealth.sleep,6305105,11
total_sleep_time_weight,original_efficiency,mental_recovery,wake_score,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,deep_score,integrated_id,latency_weight,has_sleep_data,bedtime_detection_delay,sleep_efficiency_with_latency,wakeup_time_detection_delay,total_rem_duration,combined_id,nap_score,sleep_type,sleep_latency,data_version,latency_score,deep_weight,rem_weight,physical_recovery,original_wake_up_time,movement_awakening,is_integrated,original_bed_time,goal_bed_time,quality,extra_data,wake_weight,rem_score,goal_wake_up_time,sleep_cycle,total_light_duration,efficiency,sleep_score,sleep_duration,stage_analyzed_type,total_sleep_time_score,com.samsung.health.sleep.create_sh_ver,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.modify_sh_ver,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.client_data_id,com.samsung.health.sleep.client_data_ver,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90f76861-b569-5f63-ed81-545f26ffe967.extra_data.json,,,,,,91.0,,,,,,2019-10-23 07:46:00.000,,,2019-10-23 10:30:15.300,2019-10-23 10:30:15.300,,,UTC-0400,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-23 10:26:00.000,90f76861-b569-5f63-ed81-545f26ffe967,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,19b36d58-d4f1-571d-fb5f-5e29c14beb4a.extra_data.json,,,,,,91.0,,,,,,2019-11-05 16:52:00.000,,,2019-11-05 18:41:33.349,2019-11-05 18:41:33.349,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-11-05 18:38:00.000,19b36d58-d4f1-571d-fb5f-5e29c14beb4a,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,671651cc-494f-06f7-8ed7-2e7f5658efcc.extra_data.json,,,,,,81.0,,,,,,2019-10-28 23:54:00.000,,,2019-10-29 02:19:51.421,2019-10-29 02:19:51.421,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-29 02:17:00.000,671651cc-494f-06f7-8ed7-2e7f5658efcc,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,c0f84949-f762-d3c8-560f-d9bab16bb6a4.extra_data.json,,,,,,86.0,,,,,,2019-10-24 07:05:00.000,,,2019-10-24 08:58:30.329,2019-10-24 08:58:30.329,,,UTC-0400,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-24 08:54:00.000,c0f84949-f762-d3c8-560f-d9bab16bb6a4,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,9073abee-0cf8-4b56-6487-693c83c1bfe3.extra_data.json,,,,,,83.0,,,,,,2019-10-30 07:02:00.000,,,2019-10-30 16:32:04.358,2019-10-30 16:32:04.358,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-30 16:21:00.000,9073abee-0cf8-4b56-6487-693c83c1bfe3,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,a9719dc9-f9b1-5887-7ee1-e58f36a6f565.extra_data.json,,,,,,83.0,,,,,,2019-10-26 12:41:00.000,,,2019-10-26 14:38:51.325,2019-10-26 14:38:51.325,,,UTC-0500,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-26 14:19:00.000,a9719dc9-f9b1-5887-7ee1-e58f36a6f565,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3408cce5-f6ea-31ff-d6f8-840e20d26922.extra_data.json,,,,,,63.0,,,,,,2019-10-28 21:58:00.000,,,2019-10-28 23:49:08.318,2019-10-28 23:49:08.318,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-28 23:42:00.000,3408cce5-f6ea-31ff-d6f8-840e20d26922,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,f71c2a54-f7fe-05c6-c086-d2846382a67a.extra_data.json,,,,,,68.0,,,,,,2019-10-31 05:25:00.000,,,2019-10-31 07:39:24.371,2019-10-31 07:39:24.371,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-31 07:38:00.000,f71c2a54-f7fe-05c6-c086-d2846382a67a,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,e2c1f4a5-33f8-a615-504d-8c581858d1d7.extra_data.json,,,,,,85.0,,,,,,2019-10-15 03:54:00.000,,,2019-10-15 09:17:04.356,2019-10-15 09:17:04.356,,,UTC-0400,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-15 09:01:00.000,e2c1f4a5-33f8-a615-504d-8c581858d1d7,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,23d93c73-99d8-eb29-92f1-6d21242a7be8.extra_data.json,,,,,,80.0,,,,,,2019-10-10 08:50:00.000,,,2019-10-10 13:28:11.375,2019-10-10 13:28:11.375,,,UTC-0400,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-10 13:11:00.000,23d93c73-99d8-eb29-92f1-6d21242a7be8,
