com.samsung.shealth.rewards,6305105,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2019-10-12 05:00:00.000,,,,2020-04-23 19:22:16.675,2019-10-13 16:10:04.495,,,tracker_floor_reward_target_achieved,UTC-0500,"{""mTarget"":10,""mValue"":15.0}",rkSVQ0chfP,com.sec.android.app.shealth,tracker.floor,2019-10-12 05:00:00.000,9b0e5cf3-0647-41ff-b9e2-d5382c03d745,1,
,2019-11-01 00:05:23.277,,,,2019-11-01 22:58:18.447,2019-11-01 00:05:23.316,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":72,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-11-01 00:05:23.277,f7fc786b-762a-4e83-b6a5-1e554af3a928,0,
,2019-10-29 23:22:47.920,,,,2019-11-01 00:05:23.309,2019-10-29 23:22:47.937,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":85,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-10-29 23:22:47.920,25fe4395-41f5-42ec-9c9e-433b5404062c,0,
,2019-10-24 01:15:49.429,,,,2019-10-25 01:35:01.051,2019-10-24 01:15:49.446,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":74,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-10-24 01:15:49.429,66d1a5fb-f3ad-40c5-9f6e-5f577c569294,0,
,2020-03-25 07:00:00.000,,1899999,,2020-03-25 20:25:34.039,2020-03-25 20:25:20.809,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":8201}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-03-25 07:00:00.000,e077de95-6414-488d-9d9b-30c81c124f95,1,
,2019-10-13 07:00:00.000,,10009,,2020-03-25 20:25:34.297,2020-03-25 20:25:34.297,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":6319}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2019-10-13 07:00:00.000,13ac4075-223f-46ef-a2d8-ec51808a3f21,1,
,2019-10-20 07:00:00.000,,10009,,2020-03-25 20:25:34.297,2020-03-25 20:25:34.297,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":9177}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2019-10-20 07:00:00.000,f065390a-3007-41f0-a236-6adca0b79fbb,1,
,2019-10-24 07:00:00.000,,10009,,2020-03-25 20:25:34.297,2020-03-25 20:25:34.297,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":6523}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2019-10-24 07:00:00.000,d1d54f9c-a3ae-49c2-988c-8d28169f699e,1,
,2019-10-21 07:00:00.000,,1899999,,2020-03-25 20:25:34.301,2020-03-25 20:25:34.301,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":7260}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2019-10-21 07:00:00.000,d4089ccc-50af-4696-8ee7-3053ee0ca725,1,
,2019-10-29 07:00:00.000,,1899999,,2020-03-25 20:25:34.301,2020-03-25 20:25:34.301,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":6828}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2019-10-29 07:00:00.000,e10fc80e-0679-4932-884b-658c9a5a6b44,1,
,2019-10-31 07:00:00.000,,1899999,,2020-03-25 20:25:34.301,2020-03-25 20:25:34.301,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":6099}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2019-10-31 07:00:00.000,2a79ae63-a315-48bc-acb9-4b1fc1fe0a26,1,
,2019-11-01 07:00:00.000,,1899999,,2020-03-25 20:25:34.301,2020-03-25 20:25:34.301,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":13863}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2019-11-01 07:00:00.000,c062f71b-36b0-4188-9ffa-d879fea45481,1,
,2020-03-25 05:00:00.000,,1899999,,2020-04-22 00:35:43.348,2020-03-25 20:25:34.301,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":8980}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-03-25 05:00:00.000,6ffa97e9-0849-44e0-bc33-08f95630c16f,1,
,2019-11-01 07:00:00.000,,1899999,,2020-03-25 20:25:34.301,2020-03-25 20:25:34.301,,,tracker_pedometer_reward_most_walking_day,UTC-0700,"{""mTarget"":-1,""mValue"":13863}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2019-11-01 07:00:00.000,263645a5-ea99-4cda-a997-e828c2fedcd3,1,
,2019-11-01 07:00:00.000,,1899999,,2020-03-25 20:25:34.302,2020-03-25 20:25:34.302,,,tracker_pedometer_reward_most_walking_day,UTC-0700,"{""mTarget"":-1,""mValue"":13863}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2019-11-01 07:00:00.000,6e5a9e1b-60bc-445d-9951-31459f178caf,1,
,2020-03-27 05:00:00.000,,1899999,,2020-04-24 04:55:14.695,2020-03-27 21:04:46.097,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":9738}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-03-27 05:00:00.000,7493cd47-981e-4080-b1dc-5154995f7b55,1,
,2020-03-27 21:04:47.485,,,,2020-03-28 23:33:21.686,2020-03-27 21:04:47.538,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":false,""mValue"":110,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-03-27 21:04:47.485,03a43404-9f2c-4fdc-88f3-159217479cb5,0,
,2020-03-27 07:00:00.000,,10009,,2020-04-02 07:00:00.596,2020-03-28 02:37:04.187,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":7524}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-03-27 07:00:00.000,9def0702-386c-4628-9ad9-d25f9abf9cab,1,
,2020-03-28 23:33:21.678,,,,2020-03-29 23:15:02.609,2020-03-28 23:33:21.697,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":false,""mValue"":68,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-03-28 23:33:21.678,e271e3e8-fee8-48bc-a65c-5025054391af,0,
,2020-03-29 23:15:02.573,,,,2020-04-01 05:55:22.044,2020-03-29 23:15:02.619,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":false,""mValue"":111,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-03-29 23:15:02.573,3a7d45b6-1802-4ac7-bbbc-3e57bf462e4b,0,
,2020-03-29 06:00:00.000,,1899999,,2020-04-26 04:22:22.340,2020-03-29 23:22:21.748,,,tracker_pedometer_reward_target_achieved,UTC-0600,"{""mTarget"":6000,""mValue"":8842}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-03-29 06:00:00.000,16946824-0ebf-467d-a76b-396ffb101ae3,1,
,2020-03-29 07:00:00.000,,10009,,2020-04-04 07:39:44.211,2020-03-29 23:22:22.695,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":8445}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-03-29 07:00:00.000,a331d8e8-7d3f-404b-a787-089f8b842c9b,1,
,2020-04-01 05:55:22.039,,,,2020-04-01 07:02:58.052,2020-04-01 05:55:22.045,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":73,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-04-01 05:55:22.039,96b387d3-837b-4910-a5e4-3003e9c59eb3,0,
,2020-03-31 05:00:00.000,,1899999,,2020-04-28 02:15:08.066,2020-04-01 07:02:56.696,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6251}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-03-31 05:00:00.000,8f0a23aa-95cf-44ad-9a21-cc2b15617495,1,
,2020-04-01 09:41:00.601,,,,2020-04-02 23:30:41.984,2020-04-01 09:41:00.634,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":158,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-04-01 09:41:00.601,8eb99f87-5f0f-4218-9217-f06039f47ba2,0,
,2020-04-01 05:00:00.000,,1899999,,2020-04-28 23:59:35.928,2020-04-01 10:12:50.075,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":13334}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-04-01 05:00:00.000,ccbac571-c6c5-4a23-82cf-7e6aa216aefd,1,
,2020-04-01 07:00:00.000,,10009,,2020-04-07 07:07:27.791,2020-04-01 19:03:23.320,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":11268}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-04-01 07:00:00.000,a287e8dc-9719-4cc1-8f21-93765dd8e5d6,1,
,2020-04-01 07:00:00.000,,10009,,2020-04-02 07:00:00.635,2020-04-01 20:13:17.140,,,tracker_pedometer_reward_most_walking_day,UTC-0700,"{""mTarget"":-1,""mValue"":11268}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-04-01 07:00:00.000,0b8dd227-53e6-4c7d-82ba-f81b8071f7d8,1,
,2020-04-02 23:30:41.980,,,,2020-04-04 02:22:42.087,2020-04-02 23:30:41.998,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":150,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-04-02 23:30:41.980,56da3194-1807-4e1e-b707-8e5c6cb23707,0,
,2020-04-02 07:00:00.000,,10009,,2020-04-08 07:04:39.937,2020-04-03 00:32:37.825,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":9017}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-04-02 07:00:00.000,0b63128a-dbe9-4168-82e0-6a26df850c1a,1,
,2020-04-02 07:00:00.000,,1899999,,2020-04-29 18:56:07.285,2020-04-03 01:57:31.998,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":8273}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-04-02 07:00:00.000,f6d23c56-f6b7-46ca-9e23-e2fce4c8dd10,1,
,2020-04-04 02:22:42.085,,,,2020-04-04 21:15:31.631,2020-04-04 02:22:42.090,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":83,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-04-04 02:22:42.085,d14d4e30-265e-4229-8e19-18c71f94cb36,0,
,2020-04-03 06:00:00.000,,1899999,,2020-05-01 04:15:27.798,2020-04-04 05:23:24.329,,,tracker_pedometer_reward_target_achieved,UTC-0600,"{""mTarget"":6000,""mValue"":6984}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-04-03 06:00:00.000,05462229-e709-4aaf-95e2-bedb432a4554,1,
