com.samsung.shealth.activity.goal,6305105,1
update_time,create_time,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2020-05-04 12:06:07.323,2020-05-04 12:06:07.323,60,UTC-0700,jBfEgmLJSx,com.sec.android.app.shealth,1588593967322,cf2ab48c-27e8-40f6-ab51-958b24f7ed19,
2020-05-05 22:21:25.983,2020-05-05 22:21:25.983,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1588717285978,0e54bbcf-58e1-4aaf-9593-0b0ac2512bfb,
2020-05-06 18:11:38.955,2020-05-06 18:11:38.955,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1588788698954,c1e32937-55a9-4899-a402-3ef1be7d8d0a,
2020-05-06 18:12:19.921,2020-05-06 18:12:19.921,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1588788739919,538c9c6d-04cb-41dc-9df4-edb4045e97e2,
2020-05-06 18:12:24.525,2020-05-06 18:12:24.525,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1588788744524,191c0f7c-7b3b-4837-b4bb-aa23cabd8726,
2020-05-06 18:13:09.734,2020-05-06 18:13:09.734,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1588788789733,1adb7a1b-e0d4-4b95-bd13-ba9d67cd4d4d,
2020-05-06 18:13:58.137,2020-05-06 18:13:58.137,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1588788838134,37a7374d-422e-451a-a6ae-d4bd3416e3ec,
2020-05-07 15:30:02.493,2020-05-07 15:30:02.493,60,UTC-0400,jBfEgmLJSx,com.sec.android.app.shealth,1588865402492,d88a3620-1e4a-45f1-b56f-3b7e803a1e13,
2020-05-14 12:21:54.956,2020-05-14 12:21:54.956,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1589458914949,9ea7a46c-33e7-46e1-bfc5-e39a126824d4,
2020-05-14 12:23:57.841,2020-05-14 12:23:57.841,60,UTC-0400,jBfEgmLJSx,com.sec.android.app.shealth,1589459037840,cd9a2def-ac23-4bcf-9723-702f7029adb5,
2020-05-14 12:24:06.702,2020-05-14 12:24:06.702,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1589459046701,02d4d4fd-43c8-4c89-90d0-5eca6ba96890,
2020-05-14 12:24:37.723,2020-05-14 12:24:37.723,60,UTC-0400,jBfEgmLJSx,com.sec.android.app.shealth,1589459077722,ce471ca1-08d6-48af-a8a1-86fc6fc04c9d,
2020-05-14 12:24:39.174,2020-05-14 12:24:39.174,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1589459079172,f8b0aead-26a3-4646-9c68-eb40dbe57d7e,
2020-05-15 08:31:46.777,2020-05-15 08:31:46.777,60,UTC-0400,jBfEgmLJSx,com.sec.android.app.shealth,1589531506766,d838233e-9545-4d27-b7cf-08dbf481bb2c,
2020-05-18 09:14:07.183,2020-05-18 09:14:07.183,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1589793247169,514daa02-0c9a-4d8a-9792-b91750501f25,
2020-05-20 04:23:12.978,2020-05-20 04:23:12.978,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1589948592971,ad4b655e-7dc9-4957-80f0-194e4925fdd9,
2020-05-20 11:13:49.282,2020-05-20 11:13:49.282,60,UTC-0700,jBfEgmLJSx,com.sec.android.app.shealth,1589973229279,224169dc-678b-4971-a257-e17077270fb5,
2020-05-21 05:00:27.744,2020-05-21 05:00:27.744,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590037227743,20b0f859-300a-48c5-ac48-199a50e36009,
2020-05-21 09:27:59.552,2020-05-21 09:27:59.552,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590053279551,89c225a3-ea1a-4a8f-9f9e-651af363ecdb,
2020-05-21 09:32:02.321,2020-05-21 09:32:02.321,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590053522320,d6bc6f36-8ba0-49cd-a418-943482e6200a,
2020-05-21 09:38:16.953,2020-05-21 09:38:16.953,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590053896952,4dbec385-8ca2-48ef-a97e-0e533c06511a,
2020-05-21 09:46:35.645,2020-05-21 09:46:35.645,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590054395644,7bbb62d0-911c-48c0-8c8a-d86c858a1e28,
2020-05-21 09:46:40.270,2020-05-21 09:46:40.270,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590054400269,a1ad4ed8-54c0-41e3-9f66-dddc5277db9f,
2020-05-21 09:47:14.288,2020-05-21 09:47:14.288,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590054434286,a71f9453-feb8-45a2-ae85-a28115d060ea,
2020-05-21 09:49:40.909,2020-05-21 09:49:40.909,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590054580908,dccbf7a4-e6e9-4373-9632-918697f65ada,
2020-05-24 05:53:22.273,2020-05-24 05:53:22.273,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590299602272,ee14efc8-61a2-4326-9fec-14ed46bdd5ee,
2020-05-24 05:53:22.314,2020-05-24 05:53:22.314,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590299602310,43559afc-d570-4874-ad78-98ead1197a6f,
2020-05-24 05:53:31.220,2020-05-24 05:53:31.220,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590299611219,9ac1b924-8d4e-4c74-a4d8-991ea1aa6ab7,
2020-05-24 05:53:43.610,2020-05-24 05:53:43.610,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590299623608,73654364-b188-4337-ae42-d6ede06e9e26,
2020-05-24 05:53:43.652,2020-05-24 05:53:43.652,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590299623640,7dd1faee-25b5-4c74-979a-194e3755ce4f,
2020-05-24 05:53:44.662,2020-05-24 05:53:44.662,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590299624658,40ff9d3d-0ee1-48bd-9dd5-bc84fffb06f4,
2020-05-24 05:59:59.478,2020-05-24 05:59:59.478,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590299999477,5d2806b9-361f-457b-ba12-bb0166056708,
2020-05-24 05:59:59.511,2020-05-24 05:59:59.511,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590299999509,4aea5d1e-907d-4d88-b70c-693ed4712dc6,
2020-05-24 06:01:51.363,2020-05-24 06:01:51.363,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590300111361,23b6a8bf-b051-4822-ad0d-5bd094e1b1a2,
2020-05-24 06:02:24.179,2020-05-24 06:02:24.179,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590300144177,e260f71e-ef9a-41b3-a86c-e4d6cfc009cf,
2020-05-24 06:09:31.329,2020-05-24 06:09:31.329,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590300571328,c3f13782-3e53-4dba-941d-29ff818ac9f4,
2020-05-24 06:09:35.776,2020-05-24 06:09:35.776,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590300575775,04645ac1-f61f-4f89-b5a8-110c51e88674,
2020-05-24 06:12:05.669,2020-05-24 06:12:05.669,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590300725667,026f0fd1-5d61-4af9-a899-b0c31c1b786e,
2020-05-24 06:14:52.600,2020-05-24 06:14:52.600,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590300892599,fc2c0129-11b8-42e8-8169-1030f1bb05b4,
2020-05-24 06:18:22.735,2020-05-24 06:18:22.735,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590301102733,8f2b94da-79f4-4554-ace1-f63cfb07287e,
2020-05-24 06:21:35.092,2020-05-24 06:21:35.092,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590301295090,bc511e45-237e-417a-b67f-5fcec0d6a2f4,
2020-05-24 10:39:39.878,2020-05-24 10:39:39.878,60,UTC-0700,jBfEgmLJSx,com.sec.android.app.shealth,1590316779871,109ee7f7-d0b5-4533-bdb3-e7f474bbeec6,
2020-05-24 10:43:12.259,2020-05-24 10:43:12.259,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590316992255,4261b22a-dbae-420b-9504-624ea009f00e,
2020-05-24 10:43:39.679,2020-05-24 10:43:39.679,60,UTC-0700,jBfEgmLJSx,com.sec.android.app.shealth,1590317019677,8fc7f8b2-0b74-42dd-ae75-5b253100fd0c,
2020-05-27 02:56:54.670,2020-05-27 02:56:54.670,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590548214667,38ff3f31-2b02-4b50-b253-eabcf3a0b1ba,
2020-05-27 09:26:44.100,2020-05-27 09:26:44.100,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590571604048,75a9b73e-19fa-4a5a-88c1-76ace404927c,
2020-05-27 09:26:47.917,2020-05-27 09:26:47.917,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590571607915,927e906c-32b5-42dd-a8c8-e844281fc91e,
2020-05-27 09:27:43.907,2020-05-27 09:27:43.907,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590571663906,6cbca57e-26fa-4e77-9355-f137344e5608,
2020-05-27 09:28:49.656,2020-05-27 09:28:49.656,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590571729655,51d67f6e-1f0c-4408-a778-8345bc9026e5,
2020-05-27 09:30:01.377,2020-05-27 09:30:01.377,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590571801376,1da6ebda-2f7e-4048-8ab0-c85edaae5305,
2020-05-27 09:30:15.261,2020-05-27 09:30:15.261,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590571815260,ecd592df-714f-460e-b6cb-7680a60ab722,
2020-05-27 09:31:11.820,2020-05-27 09:31:11.820,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590571871819,72d089b6-75fa-420f-b7d4-7fcf62faf78a,
2020-05-27 09:31:18.425,2020-05-27 09:31:18.425,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590571878424,273107d9-02a0-4406-9b08-366368f0992e,
2020-05-27 09:32:46.740,2020-05-27 09:32:46.740,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590571966739,0e2d611a-c355-4d83-af5c-16e3b6b7b829,
2020-05-27 09:33:00.854,2020-05-27 09:33:00.854,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590571980852,95dd57cc-7f34-4dc6-9156-4d8334e6249a,
2020-05-27 09:33:15.334,2020-05-27 09:33:15.334,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590571995334,826db602-12bd-40e8-9cc2-0db27e598969,
2020-05-30 20:51:34.771,2020-05-30 20:51:34.771,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590871894753,33fa796f-1e01-4ab4-bb76-5823ca8a7544,
2020-05-30 20:52:59.445,2020-05-30 20:52:59.445,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590871979440,043fb44d-9061-48be-b357-5489d66a7378,
